,count,mean,std,min,25%,50%,75%,max
Previous qualification (grade),3630.0,132.92060606060605,13.238372653658397,95.0,125.0,133.1,140.0,190.0
Admission grade,3630.0,127.2939393939394,14.611295270475935,95.0,118.0,126.5,135.1,190.0
Age at enrollment,3630.0,23.461157024793387,7.827994205896146,17.0,19.0,20.0,25.0,70.0
Curricular units 1st sem (credited),3630.0,0.7542699724517906,2.4772766591613515,0.0,0.0,0.0,0.0,20.0
Curricular units 1st sem (enrolled),3630.0,6.337465564738292,2.5707730857179416,0.0,5.0,6.0,7.0,26.0
Curricular units 1st sem (evaluations),3630.0,8.071074380165289,4.286632371376056,0.0,6.0,8.0,10.0,45.0
Curricular units 1st sem (approved),3630.0,4.791460055096419,3.2378452049397413,0.0,3.0,5.0,6.0,26.0
Curricular units 1st sem (grade),3630.0,10.534859606002367,5.0576939569071495,0.0,11.0,12.34142857142857,13.5,18.875
Curricular units 1st sem (without evaluations),3630.0,0.12892561983471074,0.6791105836876995,0.0,0.0,0.0,0.0,12.0
Curricular units 2nd sem (credited),3630.0,0.5818181818181818,2.022687521898221,0.0,0.0,0.0,0.0,19.0
Curricular units 2nd sem (enrolled),3630.0,6.296418732782369,2.2630201609737965,0.0,5.0,6.0,7.0,23.0
Curricular units 2nd sem (evaluations),3630.0,7.763085399449036,3.9641634357394797,0.0,6.0,8.0,10.0,33.0
Curricular units 2nd sem (approved),3630.0,4.518457300275482,3.162376272237227,0.0,2.0,5.0,6.0,20.0
Curricular units 2nd sem (grade),3630.0,10.036155051506652,5.481742082375743,0.0,10.517857142857142,12.333333333333334,13.5,18.571428571428573
Curricular units 2nd sem (without evaluations),3630.0,0.14214876033057852,0.7476704410119649,0.0,0.0,0.0,0.0,12.0
Unemployment rate,3630.0,11.630358126721763,2.6676518962215647,7.6,9.4,11.1,13.9,16.2
Inflation rate,3630.0,1.2315977961432507,1.3849111826964449,-0.8,0.3,1.4,2.6,3.7
GDP,3630.0,-0.009256198347107421,2.259985867959601,-4.06,-1.7,0.32,1.79,3.51
