feature,importance
Curricular units 2nd sem (approved),0.17260438856009225
Curricular units 1st sem (approved),0.1275556750231328
Curricular units 2nd sem (grade),0.10172893676661114
Curricular units 1st sem (grade),0.07880387727222507
Tuition fees up to date_1,0.051003083458021244
Curricular units 1st sem (evaluations),0.03140896007603616
Curricular units 2nd sem (evaluations),0.030738520557396044
Age at enrollment,0.028990620632012704
Scholarship holder_1,0.02544412147247501
Admission grade,0.02391680945316334
Previous qualification (grade),0.023400620850975697
Curricular units 2nd sem (enrolled),0.017743195547688845
Debtor_1,0.01772118440420107
Curricular units 1st sem (enrolled),0.016950710327022764
GDP,0.012422762284417192
Gender_1,0.012369175169995207
Unemployment rate,0.011962579510826835
Inflation rate,0.010891949452953305
Application mode_39,0.009181992115752227
Course_9500,0.005970114639877747
Curricular units 1st sem (credited),0.0059087071792848275
Curricular units 2nd sem (credited),0.005658639712963955
Course_9853,0.005199048966947869
Course_9119,0.004500950168567792
Application order_1,0.0044559875836192
Displaced_1,0.0042131370804200305
Course_9238,0.004016749575507889
Curricular units 2nd sem (without evaluations),0.003913747679417831
Course_171,0.0037321210552072846
Application mode_17,0.003649087924685056
Father's qualification_38,0.00353957975313959
Mother's qualification_19,0.0034997911711236018
Mother's occupation_4,0.0033663104043902734
Mother's occupation_9,0.0033477209712980734
Curricular units 1st sem (without evaluations),0.0033289055332474072
Father's occupation_3,0.0032259010897903216
Father's occupation_9,0.0032097793703547883
Father's qualification_37,0.0031965999391335106
Father's qualification_19,0.0030819976020368747
Father's occupation_4,0.0030564909523852716
Father's occupation_7,0.002949024633632489
Mother's qualification_37,0.00288171229569411
Mother's qualification_3,0.002836017572269008
Application order_2,0.002807281789214774
Course_9773,0.002797062063334286
Application order_3,0.00268546856446594
Mother's qualification_34,0.0026466680458152973
Father's occupation_5,0.002603953697943618
Mother's qualification_38,0.002595211277678717
Mother's occupation_5,0.002588886899976493
Mother's occupation_3,0.002478178079335511
Father's occupation_10,0.0024041421725466356
Father's qualification_3,0.002266966648683565
Course_9085,0.0021613859136600136
Course_9670,0.0020540774196683483
Course_9147,0.0020339837771362022
Application mode_7,0.0020163122776879596
Previous qualification_19,0.0019901127075847075
Mother's occupation_7,0.001975416040973315
Father's qualification_34,0.0019723747088677
Daytime/evening attendance_1,0.001971092439644883
Course_9991,0.0019349389861964893
Father's occupation_8,0.0019131913813718636
Course_9130,0.0018820604725712632
Application order_6,0.00186220441254185
Mother's occupation_2,0.0018583136837590055
Marital status_2,0.0018031523717947464
Course_8014,0.0017990518741783925
Father's qualification_2,0.0017624627665825496
Application mode_43,0.001747655028091696
Application order_4,0.0016831794027255152
Father's occupation_2,0.0016806083940191163
Course_9254,0.001616574915661379
Previous qualification_3,0.001615432076046146
Father's occupation_1,0.0015063635723069437
Course_9070,0.0015024633187632032
Father's occupation_6,0.0014747958303777272
Application mode_18,0.0013600421134694184
Father's occupation_90,0.0012954253541404843
Mother's qualification_12,0.0011613352564518093
Mother's occupation_90,0.0010534213938474752
Application mode_16,0.0010320441394743413
Mother's occupation_8,0.0010297978935221263
International_1,0.000998309224134959
Application mode_44,0.0009946934669753428
Application mode_51,0.000986688579088599
Course_9003,0.0009671289542513017
Application order_5,0.0009504029609431581
Previous qualification_39,0.0009200269492115102
Mother's qualification_2,0.0008346981039227129
Mother's occupation_1,0.000799628917944318
Father's qualification_4,0.0007667832748034157
Course_9556,0.0007478771988029712
Mother's occupation_6,0.0007445111930373355
Application mode_42,0.0007414420870980873
Marital status_4,0.0006701545939460339
Previous qualification_4,0.0006583766043624584
Educational special needs_1,0.0006557602182329722
Nacionality_109,0.0006374578553003918
Father's qualification_40,0.0006046983603483401
Previous qualification_40,0.0005707899580598326
Father's qualification_39,0.0005405240586581477
Application mode_15,0.0005306713200452053
Mother's qualification_4,0.0005112148115505592
Father's qualification_12,0.0004757234663204017
Previous qualification_12,0.0004434753787504694
Father's qualification_5,0.00040278842409286554
Nacionality_41,0.0003991817350115568
Mother's qualification_40,0.0003913999580826661
Application mode_53,0.00037787460059864324
Mother's qualification_39,0.0003680933811024437
Previous qualification_42,0.0003639969271619181
Previous qualification_2,0.00033752106905365794
Father's occupation_99,0.0003133163434718154
Marital status_5,0.00031033187996670097
Mother's qualification_5,0.00027268606131093567
Mother's qualification_29,0.0002648988375496604
Father's qualification_25,0.00026436779331084914
Mother's occupation_191,0.0002613485267020619
Mother's occupation_99,0.00024227273777210515
Application mode_2,0.0002201949039803362
Father's qualification_31,0.00021031926499721036
Nacionality_26,0.0001956538956503518
Father's qualification_11,0.00019411314107628798
Previous qualification_6,0.0001873495890502441
Application mode_5,0.0001761050914000566
Mother's qualification_27,0.00015981336550143584
Nacionality_24,0.00015137409862045343
Father's qualification_9,0.000140992157494662
Application mode_26,0.00013921775425458115
Previous qualification_43,0.00012541141951011482
Mother's qualification_30,0.00010793229493908785
Mother's qualification_35,0.00010429768737814391
Father's qualification_36,9.508445834027354e-05
Mother's occupation_10,9.302090592728976e-05
Father's qualification_35,9.132790808563249e-05
Father's qualification_43,8.897459468324655e-05
Mother's qualification_41,8.554130648378278e-05
Father's occupation_144,7.839343336441131e-05
Mother's occupation_144,6.754504066259488e-05
Father's occupation_192,6.631811968758974e-05
Previous qualification_9,6.54530847944697e-05
Mother's qualification_9,5.9549449446955105e-05
Father's qualification_10,5.8304717099374215e-05
Nacionality_22,5.662368973463679e-05
Mother's qualification_44,5.4635818929506816e-05
Application mode_10,5.3898875941426446e-05
Mother's occupation_194,5.1215446115921734e-05
Mother's occupation_141,5.015779729431812e-05
Mother's occupation_171,4.7988452667850424e-05
Previous qualification_38,4.5736000969662715e-05
Father's qualification_14,4.5534709158022786e-05
Father's occupation_193,4.303783671237802e-05
Father's occupation_175,4.2143944463603916e-05
Father's qualification_42,4.136819711215677e-05
Nacionality_17,4.037611540945966e-05
Father's occupation_103,3.6653855199136126e-05
Mother's qualification_10,3.61887348132529e-05
Father's occupation_183,3.573987724035798e-05
Father's occupation_163,3.547330089541151e-05
Mother's occupation_175,3.482906978704748e-05
Nacionality_105,3.2728171999587406e-05
Father's occupation_124,3.2352626424870897e-05
Mother's occupation_192,3.224047710708152e-05
Father's occupation_171,3.139503471039203e-05
Marital status_3,3.1165491386771256e-05
Nacionality_101,3.074016233980049e-05
Mother's occupation_123,2.907819518187069e-05
Mother's qualification_43,2.853465045503729e-05
Father's occupation_141,2.791709021960946e-05
Father's occupation_131,2.7041824583715095e-05
Father's occupation_112,2.649709705893408e-05
Father's qualification_29,2.6494774394090276e-05
Mother's qualification_26,2.563383135296588e-05
Mother's qualification_6,2.4807012222031995e-05
Father's qualification_30,2.4407293282486386e-05
Father's occupation_151,1.863070822724954e-05
Nacionality_103,1.8585544131071847e-05
Mother's qualification_11,1.8441045733951794e-05
Mother's occupation_132,1.8179340022785176e-05
Mother's occupation_151,1.8139488057450947e-05
Mother's occupation_143,1.7971361384086987e-05
Nacionality_11,1.665137364032195e-05
Previous qualification_10,1.6574388466135084e-05
Father's occupation_154,1.638980460132529e-05
Mother's qualification_42,1.5841553886764e-05
Mother's occupation_134,1.2958722589679988e-05
Mother's occupation_153,1.2445924565736276e-05
Nacionality_25,1.0225733890667402e-05
Father's qualification_22,1.0019029404304716e-05
Application mode_57,8.760622941286532e-06
Father's occupation_181,8.517279229290125e-06
Father's qualification_44,8.423503014446606e-06
Mother's occupation_125,8.405732059979598e-06
Father's occupation_135,8.28507950572338e-06
Father's qualification_6,8.009694352344096e-06
Father's occupation_172,7.986666421976491e-06
Nacionality_100,7.911695229100505e-06
Father's occupation_123,7.378766984652441e-06
Father's occupation_114,6.877395511767278e-06
Previous qualification_5,5.501793077919404e-06
Mother's occupation_193,3.7503258135671307e-06
Father's occupation_174,3.691951319456823e-06
Father's occupation_143,3.2359033800600104e-06
Nacionality_14,2.9911504794489947e-06
Nacionality_13,2.5528188613436045e-06
Father's occupation_182,2.0505410263570715e-06
Nacionality_6,1.7801650612145794e-06
Nacionality_62,1.4301431891522063e-06
Father's occupation_194,1.3905631531924058e-06
Father's qualification_13,1.3880947133787011e-06
Father's qualification_26,7.958872337607763e-07
Father's occupation_122,5.504296823378792e-07
Father's occupation_153,2.6506377693730057e-07
Mother's occupation_152,1.9476818640121426e-07
Mother's qualification_14,1.7970724410080165e-07
Father's occupation_102,8.439696391107753e-08
Mother's qualification_36,8.015311399333654e-08
Nacionality_2,6.178919786494254e-08
Father's qualification_41,9.56829078811445e-19
Marital status_6,1.367250323931983e-19
Application mode_27,0.0
Nacionality_21,0.0
Previous qualification_15,0.0
Previous qualification_14,0.0
Mother's qualification_18,0.0
Father's qualification_27,0.0
Father's qualification_20,0.0
Father's qualification_33,0.0
Father's qualification_18,0.0
Mother's qualification_22,0.0
Father's occupation_101,0.0
Father's occupation_152,0.0
Father's occupation_195,0.0
