feature,importance
Curricular units 2nd sem (approved),0.13100676
Tuition fees up to date_1,0.0630399
Course_171,0.03733184
Curricular units 1st sem (approved),0.034824852
Curricular units 1st sem (enrolled),0.02610676
Previous qualification_4,0.025433356
Debtor_1,0.016840536
Course_9773,0.016068604
Course_9853,0.015935427
Scholarship holder_1,0.015801562
Curricular units 2nd sem (enrolled),0.013592039
Course_9119,0.012630103
Application mode_7,0.011921842
Course_9254,0.011779701
Course_9238,0.011475684
Curricular units 2nd sem (evaluations),0.011353866
Course_9991,0.011220656
Gender_1,0.010915816
Curricular units 2nd sem (credited),0.010857483
Curricular units 2nd sem (grade),0.010572876
Father's occupation_6,0.010095719
Curricular units 1st sem (without evaluations),0.009842478
Father's qualification_34,0.009392826
Application order_1,0.009223491
Age at enrollment,0.009076396
Application order_6,0.00895714
Application order_2,0.008932994
Curricular units 1st sem (credited),0.008826467
Application order_3,0.008802313
Mother's occupation_4,0.008726101
Nacionality_41,0.0086217355
Curricular units 1st sem (evaluations),0.008465231
Mother's occupation_2,0.008398283
Displaced_1,0.008319036
Mother's occupation_3,0.008303695
Course_8014,0.00826706
Application order_4,0.008138941
Father's occupation_4,0.008077342
International_1,0.007995988
Admission grade,0.007958433
Mother's occupation_5,0.007946637
Previous qualification_3,0.0077500446
Course_9085,0.007741485
Application mode_17,0.007482818
Father's occupation_2,0.007420925
Unemployment rate,0.007380593
Course_9147,0.007336308
Application mode_39,0.007134727
Previous qualification (grade),0.007111267
Course_9130,0.007094677
Father's qualification_2,0.0069097443
GDP,0.006872766
Curricular units 1st sem (grade),0.0068247537
Mother's occupation_9,0.006790314
Mother's qualification_34,0.00675615
Application order_5,0.0067195757
Mother's qualification_19,0.006674434
Father's occupation_5,0.006567711
Mother's occupation_7,0.0065369555
Father's occupation_3,0.0065132636
Father's occupation_9,0.0064716525
Father's occupation_10,0.0063652643
Father's qualification_3,0.0062212553
Father's occupation_8,0.006137326
Curricular units 2nd sem (without evaluations),0.00607089
Inflation rate,0.0060320925
Father's qualification_19,0.0059800306
Father's qualification_38,0.0059353933
Course_9070,0.0059147496
Previous qualification_19,0.005824921
Course_9500,0.005792715
Father's occupation_90,0.005482272
Application mode_18,0.005278732
Mother's qualification_37,0.005216238
Mother's qualification_3,0.005103384
Course_9670,0.005091701
Course_9003,0.004871955
Daytime/evening attendance_1,0.0047694123
Application mode_51,0.0047679357
Mother's qualification_12,0.0046974407
Application mode_43,0.0046278993
Mother's qualification_38,0.0046215337
Application mode_16,0.004530694
Mother's occupation_8,0.004416475
Father's qualification_37,0.0044071754
Mother's occupation_1,0.0043562986
Father's qualification_4,0.0043001096
Father's occupation_7,0.0042274357
Father's occupation_1,0.0041598915
Mother's qualification_4,0.0041501755
Marital status_4,0.0041399286
Mother's qualification_2,0.0040891827
Application mode_44,0.004059732
Application mode_15,0.0040326184
Marital status_2,0.0034982522
Previous qualification_39,0.0026026925
Marital status_5,0.0025215445
Father's qualification_12,0.0022683414
Mother's occupation_6,0.0022682191
Marital status_6,0.0
Marital status_3,0.0
Application mode_57,0.0
Application mode_53,0.0
Application mode_10,0.0
Application mode_2,0.0
Application mode_5,0.0
Mother's qualification_11,0.0
Mother's qualification_10,0.0
Mother's qualification_9,0.0
Mother's qualification_6,0.0
Mother's qualification_5,0.0
Nacionality_103,0.0
Nacionality_105,0.0
Nacionality_109,0.0
Nacionality_62,0.0
Nacionality_100,0.0
Nacionality_101,0.0
Nacionality_21,0.0
Nacionality_22,0.0
Nacionality_24,0.0
Nacionality_25,0.0
Nacionality_26,0.0
Nacionality_11,0.0
Nacionality_6,0.0
Nacionality_2,0.0
Previous qualification_43,0.0
Previous qualification_42,0.0
Nacionality_17,0.0
Nacionality_14,0.0
Nacionality_13,0.0
Previous qualification_38,0.0
Previous qualification_40,0.0
Previous qualification_9,0.0
Previous qualification_6,0.0
Previous qualification_10,0.0
Previous qualification_12,0.0
Previous qualification_14,0.0
Previous qualification_15,0.0
Course_9556,0.0
Previous qualification_2,0.0
Previous qualification_5,0.0
Application mode_26,0.0
Application mode_27,0.0
Application mode_42,0.0
Father's qualification_5,0.0
Father's qualification_10,0.0
Mother's qualification_42,0.0
Mother's qualification_44,0.0
Mother's qualification_43,0.0
Mother's qualification_35,0.0
Father's qualification_27,0.0
Father's qualification_22,0.0
Father's qualification_25,0.0
Father's qualification_6,0.0
Father's qualification_18,0.0
Father's qualification_14,0.0
Father's qualification_13,0.0
Father's qualification_11,0.0
Father's qualification_9,0.0
Mother's qualification_40,0.0
Mother's qualification_39,0.0
Mother's qualification_36,0.0
Mother's qualification_41,0.0
Mother's qualification_30,0.0
Mother's qualification_27,0.0
Mother's qualification_29,0.0
Mother's qualification_26,0.0
Mother's qualification_14,0.0
Mother's qualification_18,0.0
Mother's qualification_22,0.0
Mother's occupation_99,0.0
Mother's occupation_90,0.0
Mother's occupation_10,0.0
Father's qualification_41,0.0
Father's qualification_44,0.0
Father's qualification_43,0.0
Father's qualification_42,0.0
Father's qualification_26,0.0
Father's qualification_31,0.0
Father's qualification_30,0.0
Father's qualification_29,0.0
Father's qualification_33,0.0
Father's qualification_36,0.0
Father's qualification_35,0.0
Father's qualification_39,0.0
Father's qualification_40,0.0
Father's qualification_20,0.0
Mother's occupation_193,0.0
Mother's occupation_194,0.0
Mother's occupation_191,0.0
Mother's occupation_175,0.0
Mother's occupation_171,0.0
Mother's occupation_153,0.0
Mother's occupation_152,0.0
Mother's occupation_151,0.0
Mother's occupation_144,0.0
Mother's occupation_192,0.0
Mother's occupation_123,0.0
Mother's occupation_141,0.0
Mother's occupation_125,0.0
Mother's occupation_132,0.0
Mother's occupation_134,0.0
Father's occupation_112,0.0
Father's occupation_103,0.0
Father's occupation_102,0.0
Father's occupation_101,0.0
Father's occupation_99,0.0
Mother's occupation_143,0.0
Father's occupation_114,0.0
Father's occupation_122,0.0
Father's occupation_144,0.0
Father's occupation_151,0.0
Father's occupation_123,0.0
Father's occupation_124,0.0
Father's occupation_131,0.0
Father's occupation_135,0.0
Father's occupation_141,0.0
Father's occupation_143,0.0
Father's occupation_172,0.0
Father's occupation_171,0.0
Father's occupation_163,0.0
Father's occupation_154,0.0
Father's occupation_153,0.0
Father's occupation_152,0.0
Father's occupation_174,0.0
Father's occupation_175,0.0
Father's occupation_194,0.0
Father's occupation_193,0.0
Father's occupation_192,0.0
Father's occupation_183,0.0
Father's occupation_182,0.0
Father's occupation_181,0.0
Educational special needs_1,0.0
Father's occupation_195,0.0
